la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-MW,Isle of Wight,0.06%,0.86%,8.08%,91.00%,4.23%,12.23%,28.27%,55.28%,0.53%,3.16%,14.32%,81.98%,9.06%,17.36%,32.93%,40.64%,9.06%,17.36%,32.93%,40.64%,,,,,0.00%,0.07%,0.55%,4.98%,94.40%,0.70%,1.95%,7.96%,20.36%,69.03%,0.01%,0.21%,1.81%,10.30%,87.68%,1.98%,3.93%,13.20%,24.97%,55.91%,1.81%,3.17%,11.98%,25.57%,57.47%,,,,,,0.11%,0.50%,3.63%,20.61%,75.15%,1.23%,9.49%,26.30%,31.58%,31.40%,0.12%,1.46%,5.70%,22.53%,70.18%,2.42%,9.92%,19.83%,37.13%,30.70%,2.43%,9.26%,22.23%,36.56%,29.52%,,,,,
00-HF,Isles of Scilly,2.82%,5.26%,44.33%,47.60%,17.52%,19.35%,48.21%,14.93%,6.11%,12.08%,22.82%,58.99%,24.68%,23.34%,23.49%,28.49%,24.68%,23.34%,23.49%,28.49%,,,,,26.12%,73.88%,0.00%,0.00%,0.00%,82.25%,17.75%,0.00%,0.00%,0.00%,23.71%,76.29%,0.00%,0.00%,0.00%,57.49%,42.51%,0.00%,0.00%,0.00%,74.12%,25.88%,0.00%,0.00%,0.00%,,,,,,13.63%,86.37%,0.00%,0.00%,0.00%,57.43%,42.57%,0.00%,0.00%,0.00%,16.03%,83.97%,0.00%,0.00%,0.00%,33.78%,66.22%,0.00%,0.00%,0.00%,25.88%,74.12%,0.00%,0.00%,0.00%,,,,,
29-00,Kent County,0.14%,0.82%,4.55%,94.49%,3.12%,8.25%,24.74%,63.89%,1.72%,4.80%,12.82%,80.66%,15.10%,20.13%,25.96%,38.82%,15.10%,20.13%,25.96%,38.82%,0.31%,1.65%,11.93%,86.12%,0.02%,0.05%,0.67%,3.35%,95.91%,0.56%,1.28%,5.36%,15.86%,76.94%,0.16%,0.45%,3.14%,9.77%,86.48%,2.81%,5.71%,14.49%,29.37%,47.63%,0.63%,1.92%,8.45%,23.97%,65.03%,0.00%,0.00%,0.62%,12.03%,87.35%,0.02%,0.17%,0.52%,4.86%,94.42%,0.53%,2.16%,7.77%,20.03%,69.52%,0.27%,0.98%,2.39%,9.37%,86.99%,2.97%,6.64%,13.45%,26.54%,50.40%,0.96%,3.56%,10.30%,25.57%,59.60%,0.00%,0.10%,3.60%,20.21%,76.09%
00-CZ,Kirklees District,0.00%,0.07%,0.85%,99.08%,0.27%,2.51%,15.16%,82.06%,0.66%,1.35%,4.10%,93.89%,4.31%,8.55%,17.90%,69.24%,4.31%,8.55%,17.90%,69.24%,0.00%,0.00%,1.95%,98.05%,0.00%,0.00%,0.02%,0.87%,99.11%,0.00%,0.05%,1.10%,9.99%,88.85%,0.12%,0.17%,0.97%,3.76%,94.97%,0.81%,1.64%,5.95%,16.46%,75.14%,0.06%,0.62%,3.12%,12.72%,83.48%,0.00%,0.00%,0.00%,3.50%,96.50%,0.00%,0.02%,0.20%,2.03%,97.75%,0.00%,0.18%,2.55%,3.91%,93.36%,0.25%,0.74%,1.15%,3.11%,94.75%,1.65%,2.99%,4.66%,8.45%,82.25%,0.14%,1.93%,4.22%,6.91%,86.80%,0.00%,0.00%,0.00%,0.00%,100.00%
00-BX,Knowsley District,0.00%,0.00%,0.00%,100.00%,0.01%,1.10%,18.23%,80.66%,0.00%,0.01%,0.50%,99.49%,1.08%,3.18%,16.09%,79.65%,1.08%,3.18%,16.09%,79.65%,0.00%,0.00%,4.15%,95.85%,0.00%,0.00%,0.00%,0.04%,99.96%,0.00%,0.00%,0.11%,5.52%,94.37%,0.00%,0.00%,0.00%,0.17%,99.83%,0.00%,0.13%,1.23%,12.27%,86.37%,0.00%,0.00%,0.00%,6.04%,93.96%,0.00%,0.00%,0.00%,2.64%,97.36%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,6.09%,93.90%,0.00%,0.00%,0.00%,0.32%,99.68%,0.00%,0.07%,2.29%,8.77%,88.87%,0.00%,0.00%,0.12%,4.19%,95.68%,0.00%,0.00%,0.00%,0.75%,99.25%
30-00,Lancashire County,0.18%,0.67%,3.82%,95.33%,2.21%,7.40%,26.92%,63.47%,6.05%,6.09%,9.44%,78.43%,21.47%,16.73%,24.63%,37.17%,21.47%,16.73%,24.63%,37.17%,0.00%,1.01%,19.82%,79.17%,0.19%,0.22%,0.98%,3.67%,94.94%,0.79%,1.53%,5.44%,13.11%,79.13%,3.59%,2.69%,5.45%,10.14%,78.12%,10.65%,7.20%,16.06%,24.95%,41.13%,1.87%,3.29%,12.42%,22.94%,59.47%,0.00%,0.64%,6.22%,22.16%,70.99%,0.78%,1.58%,4.40%,4.51%,88.73%,3.42%,2.57%,9.27%,11.71%,73.03%,7.38%,6.64%,10.87%,15.08%,60.03%,17.24%,9.65%,22.32%,12.55%,38.24%,5.95%,5.79%,18.52%,13.22%,56.51%,3.45%,2.92%,19.18%,12.27%,62.17%
00-DA,Leeds District,0.02%,0.06%,0.81%,99.11%,0.73%,1.83%,12.54%,84.91%,0.10%,0.73%,4.07%,95.10%,3.37%,7.87%,18.45%,70.31%,3.37%,7.87%,18.45%,70.31%,0.11%,0.78%,8.02%,91.09%,0.00%,0.00%,0.02%,0.70%,99.28%,0.02%,0.09%,1.20%,7.89%,90.80%,0.00%,0.00%,0.28%,3.73%,95.99%,0.13%,0.69%,4.50%,22.15%,72.53%,0.00%,0.07%,0.85%,13.82%,85.26%,0.00%,0.00%,0.78%,15.70%,83.52%,0.00%,0.00%,0.01%,0.50%,99.49%,0.09%,0.28%,0.68%,3.59%,95.37%,0.00%,0.00%,0.05%,2.84%,97.11%,0.14%,0.90%,2.95%,11.09%,84.93%,0.00%,0.00%,0.78%,6.23%,92.99%,0.00%,1.78%,3.79%,8.02%,86.41%
31-00,Leicestershire County,0.31%,1.42%,5.87%,92.40%,5.36%,10.82%,26.55%,57.27%,1.22%,4.36%,11.54%,82.87%,14.89%,22.56%,25.57%,36.98%,14.89%,22.56%,25.57%,36.98%,0.10%,0.83%,6.65%,92.41%,0.13%,0.28%,0.71%,3.67%,95.20%,1.85%,3.02%,7.83%,17.96%,69.34%,0.35%,1.35%,3.42%,10.48%,84.40%,6.44%,10.75%,15.57%,26.09%,41.15%,2.60%,5.40%,9.75%,23.96%,58.30%,0.00%,0.00%,1.35%,9.56%,89.09%,1.14%,2.84%,2.50%,7.74%,85.78%,4.66%,5.03%,9.21%,19.81%,61.29%,1.43%,4.05%,5.87%,11.53%,77.12%,8.88%,13.02%,15.62%,20.71%,41.77%,5.14%,8.82%,9.09%,21.24%,55.70%,0.00%,0.21%,2.08%,16.01%,81.70%
32-00,Lincolnshire County,0.64%,3.34%,13.42%,82.61%,11.54%,18.56%,25.50%,44.40%,1.54%,5.52%,22.28%,70.66%,31.53%,29.32%,20.72%,18.44%,31.53%,29.32%,20.72%,18.44%,,,,,0.07%,0.60%,3.54%,10.05%,85.73%,4.41%,7.62%,14.93%,16.77%,56.27%,0.11%,0.65%,3.53%,14.92%,80.80%,5.84%,16.15%,27.20%,26.94%,23.87%,4.05%,13.35%,24.54%,27.75%,30.32%,,,,,,0.48%,4.63%,8.23%,18.84%,67.82%,7.56%,14.73%,17.30%,24.66%,35.75%,0.32%,1.89%,7.35%,20.53%,69.91%,8.03%,22.25%,28.84%,20.38%,20.49%,7.94%,19.27%,28.00%,22.67%,22.12%,,,,,
95-SY,Lisburn And Castlereagh,0.02%,0.81%,5.31%,93.86%,2.65%,5.97%,29.19%,62.19%,0.16%,1.57%,8.73%,89.54%,7.59%,16.86%,27.41%,48.15%,7.59%,16.86%,27.41%,48.15%,0.00%,0.00%,14.21%,85.79%,0.00%,0.23%,0.80%,3.34%,95.63%,1.02%,1.68%,4.75%,13.46%,79.09%,0.05%,0.33%,1.31%,7.97%,90.34%,1.44%,3.69%,9.22%,28.59%,57.06%,0.48%,2.83%,10.00%,32.19%,54.49%,0.00%,0.00%,0.76%,9.64%,89.59%,0.00%,0.68%,0.44%,1.63%,97.26%,0.57%,1.94%,3.21%,21.01%,73.26%,0.04%,0.71%,1.51%,3.97%,93.76%,1.11%,4.93%,6.89%,14.78%,72.29%,0.48%,4.25%,8.02%,20.51%,66.73%,0.00%,0.00%,0.00%,8.63%,91.37%
00-BY,Liverpool District,0.00%,0.00%,0.00%,100.00%,0.00%,0.10%,7.90%,92.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.18%,9.60%,90.22%,0.00%,0.18%,9.60%,90.22%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.04%,99.96%,0.00%,0.00%,0.00%,0.77%,99.23%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.00%,3.02%,96.98%,0.00%,0.00%,0.00%,1.23%,98.77%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.00%,0.06%,0.75%,99.19%,0.00%,0.00%,0.00%,0.04%,99.96%,0.00%,0.00%,0.03%,0.74%,99.23%,0.00%,0.00%,0.00%,0.56%,99.44%,0.00%,0.00%,0.00%,0.00%,100.00%
00-London,London,0.00%,0.01%,0.28%,99.71%,0.07%,1.29%,13.57%,85.07%,0.08%,0.28%,1.26%,98.37%,1.01%,3.34%,17.13%,78.53%,1.01%,3.34%,17.13%,78.53%,0.00%,0.48%,3.03%,96.50%,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,0.38%,3.22%,96.39%,0.00%,0.00%,0.12%,0.72%,99.16%,0.11%,0.21%,1.26%,8.42%,90.00%,0.00%,0.00%,0.41%,4.09%,95.50%,0.00%,0.00%,0.00%,7.80%,92.20%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.03%,0.67%,99.30%,0.00%,0.02%,0.07%,0.31%,99.60%,0.14%,0.16%,0.54%,2.56%,96.59%,0.00%,0.00%,0.07%,1.08%,98.85%,0.00%,0.00%,0.00%,0.64%,99.36%
00-KA,Luton,0.00%,0.00%,0.00%,100.00%,0.00%,0.25%,6.08%,93.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.32%,7.27%,92.41%,0.00%,0.32%,7.27%,92.41%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.04%,97.96%,0.00%,0.00%,0.00%,0.14%,99.86%,0.00%,0.00%,0.09%,5.99%,93.92%,0.00%,0.00%,0.23%,3.23%,96.54%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.18%,97.82%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.10%,97.90%,0.00%,0.00%,0.00%,0.69%,99.31%,0.00%,0.00%,0.00%,0.00%,100.00%
00-BN,Manchester District,0.00%,0.00%,0.00%,100.00%,0.00%,0.08%,5.27%,94.64%,0.00%,0.02%,0.08%,99.90%,0.05%,0.27%,5.08%,94.60%,0.05%,0.27%,5.08%,94.60%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.00%,0.00%,1.36%,98.64%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.01%,0.05%,2.42%,97.52%,0.00%,0.00%,0.00%,1.16%,98.84%,0.00%,0.00%,0.00%,3.95%,96.05%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.71%,99.29%,0.00%,0.00%,0.00%,0.03%,99.97%,0.00%,0.03%,0.23%,2.24%,97.50%,0.00%,0.00%,0.06%,0.93%,99.01%,0.00%,0.00%,0.00%,0.44%,99.56%
00-LC,Medway,0.25%,0.71%,2.42%,96.61%,2.70%,3.84%,18.54%,74.92%,1.16%,3.67%,11.91%,83.26%,25.65%,20.27%,15.29%,38.79%,25.65%,20.27%,15.29%,38.79%,0.00%,0.91%,10.00%,89.09%,0.00%,0.00%,0.25%,1.55%,98.19%,0.46%,0.71%,1.79%,10.81%,86.23%,0.05%,0.09%,2.38%,4.33%,93.14%,1.38%,4.18%,7.35%,26.77%,60.32%,0.46%,2.47%,3.29%,15.25%,78.54%,0.00%,0.00%,0.00%,11.82%,88.18%,0.00%,0.00%,0.00%,0.18%,99.82%,0.01%,1.19%,1.79%,6.18%,90.82%,0.01%,0.07%,0.45%,3.13%,96.34%,0.74%,4.53%,9.55%,19.14%,66.03%,0.00%,1.55%,3.65%,10.96%,83.84%,0.00%,0.00%,0.00%,5.45%,94.55%
00-PH,Merthyr Tudful - Merthyr Tydfil,0.19%,0.46%,5.65%,93.70%,1.46%,7.01%,33.39%,58.14%,7.12%,7.95%,15.09%,69.84%,20.89%,19.78%,22.95%,36.39%,20.89%,19.78%,22.95%,36.39%,,,,,0.07%,0.17%,13.80%,7.28%,78.69%,0.24%,2.09%,20.41%,4.43%,72.82%,1.78%,2.84%,12.30%,12.87%,70.21%,9.58%,8.03%,21.74%,15.15%,45.49%,0.72%,7.06%,33.37%,4.55%,54.31%,,,,,,4.00%,4.53%,24.95%,19.04%,47.48%,13.10%,14.11%,35.96%,12.23%,24.60%,9.09%,9.76%,32.13%,16.07%,32.95%,23.03%,17.23%,37.16%,12.19%,10.39%,24.40%,17.22%,34.33%,6.22%,17.82%,,,,,
95-FGV,Mid And East Antrim,0.36%,0.80%,10.37%,88.48%,5.19%,9.60%,30.65%,54.56%,5.65%,6.41%,14.62%,73.32%,23.79%,21.39%,24.43%,30.39%,23.79%,21.39%,24.43%,30.39%,1.69%,7.04%,16.34%,74.93%,0.08%,0.35%,2.94%,9.76%,86.87%,1.26%,2.91%,10.50%,17.70%,67.64%,1.18%,1.97%,7.59%,17.95%,71.31%,7.94%,9.70%,21.71%,24.04%,36.62%,3.03%,7.72%,20.30%,24.85%,44.09%,0.56%,5.07%,8.45%,23.94%,61.97%,0.18%,0.73%,4.46%,8.51%,86.11%,1.99%,4.80%,9.93%,14.51%,68.77%,1.76%,3.36%,11.97%,24.48%,58.43%,7.83%,15.08%,24.54%,21.19%,31.37%,2.55%,13.82%,23.24%,19.79%,40.60%,0.00%,0.56%,21.97%,4.79%,72.68%
95-HIM,Mid Ulster,1.43%,4.52%,17.95%,76.10%,17.51%,16.51%,31.10%,34.89%,3.66%,9.48%,25.69%,61.17%,33.04%,28.12%,23.95%,14.90%,33.04%,28.12%,23.95%,14.90%,0.00%,2.84%,40.34%,56.82%,0.11%,0.64%,5.02%,18.04%,76.19%,4.43%,8.68%,20.30%,26.97%,39.62%,0.56%,1.59%,7.97%,25.65%,64.24%,8.33%,12.79%,26.02%,28.57%,24.29%,6.98%,11.64%,26.01%,28.18%,27.19%,0.00%,0.00%,13.07%,32.95%,53.98%,0.13%,1.30%,5.04%,34.88%,58.66%,3.25%,13.23%,22.92%,40.45%,20.14%,1.60%,2.59%,8.31%,33.66%,53.84%,8.06%,18.03%,23.10%,33.13%,17.69%,6.08%,16.62%,24.17%,34.28%,18.85%,0.00%,0.00%,3.98%,49.43%,46.59%
00-EC,Middlesbrough,0.00%,0.00%,0.38%,99.62%,0.00%,0.01%,24.18%,75.81%,0.00%,0.00%,1.22%,98.78%,0.04%,0.37%,25.61%,73.98%,0.04%,0.37%,25.61%,73.98%,,,,,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.38%,9.82%,89.80%,0.00%,0.00%,0.00%,0.96%,99.04%,0.00%,0.00%,1.52%,16.43%,82.05%,0.00%,0.00%,0.28%,14.57%,85.15%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.17%,97.83%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,3.07%,96.93%,0.00%,0.00%,0.00%,2.10%,97.90%,,,,,
00-QW,Midlothian,0.09%,0.31%,3.07%,96.53%,0.84%,2.67%,22.91%,73.58%,5.21%,8.93%,15.62%,70.24%,22.43%,19.65%,23.27%,34.64%,22.43%,19.65%,23.27%,34.64%,,,,,0.00%,0.03%,0.36%,2.84%,96.76%,0.10%,0.20%,3.65%,9.73%,86.33%,0.57%,3.01%,7.58%,13.05%,75.78%,8.72%,10.21%,17.00%,21.89%,42.18%,1.14%,1.79%,12.07%,23.37%,61.62%,,,,,,0.01%,0.04%,0.46%,5.03%,94.46%,0.22%,1.09%,5.31%,21.19%,72.18%,1.43%,4.57%,9.20%,27.30%,57.50%,10.03%,10.89%,20.16%,28.07%,30.85%,1.47%,4.40%,15.09%,32.34%,46.70%,,,,,
00-MG,Milton Keynes,0.02%,0.07%,1.59%,98.32%,0.82%,4.40%,26.41%,68.38%,0.05%,0.26%,3.35%,96.35%,2.12%,8.44%,27.40%,62.04%,2.12%,8.44%,27.40%,62.04%,0.00%,0.00%,14.62%,85.38%,0.00%,0.05%,0.23%,1.14%,98.58%,0.36%,0.83%,3.86%,16.44%,78.51%,0.00%,0.03%,0.46%,3.85%,95.66%,0.77%,2.26%,8.08%,29.92%,58.97%,0.81%,2.48%,7.52%,24.85%,64.34%,0.00%,0.00%,0.00%,14.62%,85.38%,0.02%,0.16%,0.85%,1.33%,97.64%,1.52%,1.56%,4.16%,12.15%,80.60%,0.00%,0.12%,0.93%,3.28%,95.66%,1.73%,4.80%,8.29%,16.93%,68.24%,3.96%,4.97%,7.39%,13.97%,69.71%,0.00%,0.00%,2.36%,13.68%,83.96%
00-PP,Sir Fynwy - Monmouthshire,3.00%,3.74%,11.43%,81.83%,10.60%,16.81%,28.07%,44.51%,16.52%,15.41%,21.72%,46.36%,41.45%,21.70%,19.82%,17.04%,41.45%,21.70%,19.82%,17.04%,0.00%,8.61%,32.38%,59.02%,1.25%,3.08%,6.81%,7.83%,81.03%,6.81%,8.40%,10.36%,9.79%,64.64%,8.12%,11.41%,19.92%,19.73%,40.82%,28.04%,20.77%,22.55%,11.48%,17.16%,17.73%,16.28%,25.91%,13.21%,26.86%,0.00%,0.00%,0.00%,6.97%,93.03%,3.94%,7.99%,30.64%,7.81%,49.63%,11.47%,14.74%,30.80%,10.84%,32.16%,15.04%,24.75%,28.82%,10.64%,20.75%,38.95%,28.55%,16.94%,6.50%,9.06%,32.98%,24.99%,23.49%,8.55%,10.00%,0.00%,0.41%,5.74%,9.02%,84.84%
00-QX,Moray,2.01%,3.52%,15.49%,78.98%,14.31%,14.95%,35.10%,35.65%,26.37%,16.67%,20.39%,36.57%,58.18%,19.36%,13.01%,9.45%,58.18%,19.36%,13.01%,9.45%,,,,,6.19%,5.62%,23.78%,28.06%,36.36%,13.67%,16.46%,30.59%,19.54%,19.75%,26.51%,15.60%,30.50%,16.94%,10.45%,46.13%,20.18%,23.95%,7.42%,2.32%,32.35%,19.45%,31.60%,11.78%,4.82%,,,,,,20.31%,14.27%,17.98%,36.62%,10.82%,31.16%,21.09%,32.57%,14.99%,0.19%,46.86%,22.62%,14.19%,11.84%,4.49%,62.17%,22.50%,9.73%,5.04%,0.56%,48.77%,27.66%,13.62%,8.84%,1.11%,,,,,
00-RJ,Na H-Eileanan an Iar,11.64%,22.74%,22.56%,43.06%,45.10%,23.89%,14.63%,16.38%,33.83%,22.89%,19.41%,23.87%,67.17%,17.82%,9.00%,6.00%,67.17%,17.82%,9.00%,6.00%,,,,,48.44%,16.16%,19.71%,15.69%,0.00%,65.47%,13.69%,16.16%,4.68%,0.00%,67.69%,16.66%,15.44%,0.21%,0.00%,83.50%,6.66%,9.79%,0.04%,0.00%,78.85%,7.50%,13.33%,0.32%,0.00%,,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,
00-NZ,Castell-nedd Port Talbot - Neath Port Talbot,0.69%,7.86%,15.38%,76.07%,5.69%,21.54%,38.79%,33.99%,8.26%,15.95%,24.72%,51.07%,27.44%,28.22%,25.75%,18.59%,27.44%,28.22%,25.75%,18.59%,0.37%,10.86%,38.95%,49.81%,0.27%,1.49%,4.39%,12.53%,81.32%,1.89%,3.52%,10.28%,20.03%,64.28%,2.70%,5.29%,14.26%,22.45%,55.30%,11.66%,14.54%,24.66%,21.28%,27.86%,2.26%,6.73%,26.72%,26.19%,38.10%,0.00%,0.00%,0.37%,7.49%,92.13%,2.56%,4.22%,13.39%,9.76%,70.08%,3.97%,7.75%,22.06%,18.09%,48.13%,8.15%,19.92%,25.46%,10.75%,35.72%,19.86%,26.19%,25.77%,10.52%,17.65%,10.55%,15.02%,35.67%,10.34%,28.41%,0.00%,0.00%,2.25%,9.36%,88.39%
00-CJ,Newcastle upon Tyne District,0.00%,0.00%,0.31%,99.69%,0.36%,0.73%,10.35%,88.56%,0.00%,0.05%,0.85%,99.10%,0.74%,5.46%,21.60%,72.20%,0.74%,5.46%,21.60%,72.20%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.76%,3.85%,95.39%,0.00%,0.00%,0.01%,0.60%,99.39%,0.00%,0.16%,1.31%,13.89%,84.64%,0.00%,0.00%,0.67%,5.34%,93.99%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.02%,0.64%,99.34%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.08%,0.13%,2.07%,97.72%,0.00%,0.00%,0.00%,1.14%,98.86%,0.00%,0.00%,0.00%,0.00%,100.00%
00-PR,Casnewydd - Newport,0.00%,0.11%,1.41%,98.48%,0.86%,4.16%,19.04%,75.94%,0.05%,1.79%,5.16%,93.00%,5.96%,16.17%,22.68%,55.19%,5.96%,16.17%,22.68%,55.19%,0.00%,1.28%,6.39%,92.33%,0.00%,0.00%,0.05%,0.54%,99.41%,0.07%,0.60%,3.23%,9.95%,86.15%,0.00%,0.01%,1.01%,3.07%,95.91%,0.27%,1.85%,8.22%,16.64%,73.02%,0.44%,1.49%,5.95%,8.40%,83.73%,0.00%,0.00%,0.32%,7.03%,92.65%,0.00%,0.04%,3.36%,2.53%,94.08%,0.00%,0.37%,7.89%,14.30%,77.44%,0.00%,0.12%,7.34%,7.18%,85.36%,0.09%,2.86%,22.52%,20.68%,53.86%,0.00%,2.01%,20.73%,11.99%,65.27%,0.00%,0.00%,24.92%,19.17%,55.91%
95-PR,Newry Mourne And Down,7.24%,2.90%,17.73%,72.14%,19.01%,14.34%,33.04%,33.60%,13.58%,7.60%,18.94%,59.88%,33.73%,22.04%,22.96%,21.27%,33.73%,22.04%,22.96%,21.27%,4.08%,16.33%,41.84%,37.76%,4.63%,2.09%,5.84%,11.75%,75.70%,8.07%,5.73%,17.00%,27.34%,41.86%,6.47%,5.52%,8.34%,15.03%,64.64%,15.43%,9.29%,17.50%,24.15%,33.63%,14.74%,7.09%,17.04%,25.10%,36.03%,0.00%,7.14%,5.10%,14.29%,73.47%,0.96%,4.74%,8.29%,31.22%,54.79%,6.08%,11.16%,22.76%,37.76%,22.24%,2.74%,7.68%,13.82%,25.82%,49.94%,11.40%,14.74%,21.19%,33.03%,19.64%,9.26%,14.46%,22.41%,35.79%,18.07%,0.00%,0.00%,10.20%,14.29%,75.51%
33-00,Norfolk County,1.02%,4.49%,13.78%,80.71%,11.55%,15.77%,26.82%,45.87%,2.69%,9.03%,24.78%,63.50%,29.43%,26.96%,26.06%,17.55%,29.43%,26.96%,26.06%,17.55%,,,,,0.93%,1.77%,8.25%,13.75%,75.29%,7.90%,8.16%,18.84%,15.50%,49.60%,1.15%,2.98%,10.24%,24.17%,61.47%,15.57%,20.05%,27.08%,22.08%,15.22%,11.20%,15.85%,26.42%,22.86%,23.68%,,,,,,4.83%,16.71%,16.03%,12.11%,50.32%,17.93%,22.04%,13.14%,11.89%,34.99%,5.17%,16.39%,25.34%,24.02%,29.09%,33.45%,30.17%,18.30%,9.61%,8.48%,26.88%,28.56%,19.88%,10.72%,13.95%,,,,,
